                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.5576,                 1.5583,                 2.1004,                0.73731,                0.65079,                 0.7218,                0.43699,                 1.4968,                 1.4314,                 2.1529,             0.00064049,             0.00064049,             0.00064049
                     54,                 1.5634,                 1.4755,                 2.1116,                0.55249,                0.69841,                0.71868,                0.41489,                 1.5088,                  1.432,                 2.2302,             0.00063907,             0.00063907,             0.00063907
                     55,                 1.5922,                 1.5344,                 2.0955,                0.69219,                0.65079,                0.71593,                0.41716,                 1.4818,                 1.4164,                  2.171,             0.00063766,             0.00063766,             0.00063766
                     56,                 1.5418,                 1.4508,                 2.0656,                0.70724,                0.71429,                0.74917,                0.45199,                 1.4514,                 1.5554,                 2.1585,             0.00063625,             0.00063625,             0.00063625
                     57,                 1.5208,                 1.4002,                 2.0524,                0.84416,                0.68791,                0.76691,                0.48067,                 1.4766,                 1.5435,                 2.2261,             0.00063483,             0.00063483,             0.00063483
                     58,                 1.4362,                 1.3531,                  1.972,                0.69776,                0.68254,                0.71424,                0.44378,                  1.481,                  1.562,                 2.1767,             0.00063342,             0.00063342,             0.00063342
                     59,                 1.4973,                 1.4037,                 2.0089,                0.80053,                0.66667,                0.77667,                0.49429,                 1.3747,                 1.4554,                 2.1159,               0.000632,               0.000632,               0.000632
                     60,                 1.4991,                  1.385,                 2.0131,                0.75753,                0.71429,                0.71851,                  0.467,                 1.3599,                 1.6764,                 2.0425,             0.00063059,             0.00063059,             0.00063059
                     61,                 1.4737,                 1.3762,                 1.9951,                0.74941,                0.55556,                0.69624,                0.42314,                  1.448,                 1.4115,                 2.1266,             0.00062918,             0.00062918,             0.00062918
                     62,                 1.5203,                 1.3942,                 2.0039,                0.80546,                0.65725,                0.77584,                0.48677,                 1.3165,                 1.3296,                 1.9872,             0.00062776,             0.00062776,             0.00062776
                     63,                 1.4616,                 1.3858,                 1.9501,                0.65582,                0.60317,                0.64269,                 0.3835,                 1.4989,                 1.5997,                 2.3179,             0.00062635,             0.00062635,             0.00062635
                     64,                 1.4917,                 1.3746,                  1.978,                0.81918,                0.61905,                0.75417,                0.48669,                 1.3905,                 1.4205,                 2.1141,             0.00062494,             0.00062494,             0.00062494
                     65,                 1.5424,                 1.3625,                 1.9886,                0.81522,                0.63035,                0.74671,                0.48073,                 1.4457,                 1.5779,                 2.2186,             0.00062352,             0.00062352,             0.00062352
                     66,                 1.4968,                 1.3295,                 1.9813,                0.80665,                0.68254,                0.75057,                0.44688,                 1.4449,                 1.4424,                 2.2099,             0.00062211,             0.00062211,             0.00062211
                     67,                 1.4799,                 1.3294,                 1.9479,                0.82353,                0.73016,                0.76583,                0.48371,                 1.4555,                 1.4144,                 2.1629,             0.00062069,             0.00062069,             0.00062069
                     68,                 1.4066,                 1.3254,                 1.9475,                0.88329,                0.72088,                0.80506,                0.53232,                 1.4001,                 1.3752,                 2.1497,             0.00061928,             0.00061928,             0.00061928
                     69,                 1.4149,                 1.3548,                 1.9662,                0.85971,                0.74603,                 0.8339,                0.52516,                 1.3594,                 1.1833,                 2.0643,             0.00061787,             0.00061787,             0.00061787
                     70,                 1.3955,                 1.3253,                 1.8831,                0.69857,                0.66667,                0.70365,                0.44596,                 1.4165,                 1.5035,                 2.1233,             0.00061645,             0.00061645,             0.00061645
                     71,                 1.3722,                 1.2824,                    1.9,                0.80991,                0.60876,                0.76093,                0.50352,                 1.3244,                 1.3409,                 2.0418,             0.00061504,             0.00061504,             0.00061504
                     72,                 1.3574,                 1.2564,                 1.8928,                 0.8669,                0.62034,                0.74352,                  0.484,                 1.3919,                 1.5605,                 2.1092,             0.00061363,             0.00061363,             0.00061363
                     73,                 1.3808,                 1.2342,                 1.8827,                0.72342,                0.71429,                0.77184,                0.48412,                 1.4075,                 1.3524,                 2.1855,             0.00061221,             0.00061221,             0.00061221
                     74,                 1.3456,                 1.1856,                 1.8439,                0.76516,                0.77579,                0.79256,                0.51305,                 1.2802,                 1.1687,                 1.9769,              0.0006108,              0.0006108,              0.0006108
                     75,                  1.402,                 1.2477,                 1.8768,                0.76332,                0.73016,                0.74259,                0.47879,                  1.402,                 1.2464,                 2.0993,             0.00060938,             0.00060938,             0.00060938
                     76,                 1.3458,                 1.2244,                 1.8658,                0.77697,                0.71892,                0.77089,                0.49003,                 1.3201,                 1.2778,                 2.0133,             0.00060797,             0.00060797,             0.00060797
                     77,                 1.3747,                 1.2068,                 1.8884,                0.86537,                0.71419,                0.79563,                0.52269,                 1.3324,                 1.1657,                 1.9727,             0.00060656,             0.00060656,             0.00060656
                     78,                 1.3875,                 1.2508,                 1.8957,                0.75357,                0.73016,                0.77771,                0.49437,                 1.3513,                 1.2987,                 2.0439,             0.00060514,             0.00060514,             0.00060514
                     79,                 1.3639,                 1.2145,                 1.8695,                0.77173,                0.64403,                0.74928,                0.47045,                 1.4776,                 1.2621,                 2.1359,             0.00060373,             0.00060373,             0.00060373
                     80,                 1.3925,                  1.219,                 1.8718,                0.76534,                0.72484,                0.76596,                0.53953,                 1.2893,                 1.2623,                 1.9827,             0.00060232,             0.00060232,             0.00060232
                     81,                 1.2779,                 1.1777,                 1.7767,                0.76967,                 0.7619,                0.81013,                0.55686,                 1.2253,                  1.168,                 1.9155,              0.0006009,              0.0006009,              0.0006009
                     82,                 1.3017,                 1.1176,                 1.8295,                 0.8067,                0.65079,                0.74327,                0.48228,                 1.3977,                 1.3244,                 2.0738,             0.00059949,             0.00059949,             0.00059949
                     83,                 1.3369,                 1.2048,                  1.827,                0.77047,                0.63944,                0.70656,                0.48221,                 1.3089,                 1.3817,                 1.9924,             0.00059807,             0.00059807,             0.00059807
                     84,                 1.3347,                 1.2167,                 1.8287,                0.84802,                0.70863,                0.82063,                0.54879,                  1.287,                 1.1595,                 1.9483,             0.00059666,             0.00059666,             0.00059666
