                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 3.0954,                 2.2113,                 3.3076,                0.01089,                0.47619,                0.07925,                0.03316,                 2.9561,                 3.8624,                 4.2774,             0.00038294,             0.00038294,             0.00038294
                     63,                 2.9737,                 2.2414,                 3.2876,                0.01125,                0.49206,                 0.1359,                0.04286,                 2.9762,                 3.8593,                 4.2871,             0.00038834,             0.00038834,             0.00038834
                     64,                 2.9609,                 2.2112,                  3.222,                0.01063,                0.47619,                0.14694,                 0.0534,                 3.0023,                 3.8165,                 4.2941,             0.00039371,             0.00039371,             0.00039371
                     65,                 2.8769,                  2.173,                 3.1944,                 0.0113,                0.49206,                0.11027,                0.04098,                 3.0194,                 3.7968,                 4.3025,             0.00039905,             0.00039905,             0.00039905
                     66,                 2.8446,                 2.1973,                 3.1618,                0.01087,                0.47619,                0.15057,                0.05512,                 3.0265,                 3.8045,                 4.3114,             0.00040437,             0.00040437,             0.00040437
                     67,                 2.9686,                  2.165,                 3.1662,                0.01131,                0.49206,                0.11962,                0.04229,                 3.0354,                 3.8533,                 4.3305,             0.00040966,             0.00040966,             0.00040966
                     68,                 2.8226,                 2.1534,                 3.1331,                0.01151,                0.49206,                0.13976,                 0.0489,                 3.0443,                 3.9051,                   4.35,             0.00041492,             0.00041492,             0.00041492
                     69,                 2.8376,                 2.1772,                 3.1303,                0.01118,                0.47619,                0.11682,                0.04427,                 3.0431,                 3.9184,                 4.3548,             0.00042015,             0.00042015,             0.00042015
                     70,                 2.8348,                 2.1322,                 3.0979,                0.01112,                0.47619,                0.11384,                 0.0457,                 3.0342,                 3.9151,                 4.3516,             0.00042535,             0.00042535,             0.00042535
                     71,                 2.8636,                 2.1317,                 3.1076,                0.01096,                0.47619,                0.13503,                0.04579,                 3.0274,                 3.8825,                  4.343,             0.00043053,             0.00043053,             0.00043053
                     72,                 2.9496,                 2.1287,                 3.0634,                0.01156,                0.49206,                0.10961,                0.03596,                 3.0252,                 3.8527,                 4.3378,             0.00043567,             0.00043567,             0.00043567
                     73,                 2.7079,                 2.1393,                 3.0429,                0.01129,                0.47619,                0.11912,                0.04074,                 3.0367,                 3.8316,                 4.3411,             0.00044079,             0.00044079,             0.00044079
                     74,                 2.6884,                 2.0643,                 2.9764,                0.01084,                0.46032,                0.12166,                0.04066,                 3.0418,                 3.8238,                  4.341,             0.00044588,             0.00044588,             0.00044588
                     75,                 2.7428,                 2.1403,                 2.9935,                0.01152,                0.47619,                0.13116,                0.04564,                 3.0464,                 3.8399,                 4.3456,             0.00045094,             0.00045094,             0.00045094
                     76,                  2.743,                 2.0506,                 2.9492,                0.01176,                0.49206,                0.14956,                 0.0521,                 3.0476,                 3.8564,                 4.3528,             0.00045598,             0.00045598,             0.00045598
                     77,                 2.7985,                 2.0719,                 2.9502,                0.01186,                0.49206,                0.12707,                 0.0415,                 3.0429,                 3.8699,                 4.3557,             0.00046098,             0.00046098,             0.00046098
                     78,                 2.7342,                  2.066,                 2.9584,                0.01137,                0.47619,                 0.0989,                0.03164,                 3.0321,                 3.8786,                 4.3497,             0.00046596,             0.00046596,             0.00046596
