                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.58666,                0.65671,                 1.2217,                0.31337,                0.06349,                0.16305,                0.06352,                 2.2981,                 3.2923,                 3.6369,             0.00062776,             0.00062776,             0.00062776
                     63,                0.55445,                0.61846,                 1.1987,                 0.2364,                0.07937,                0.09985,                0.03129,                 2.3066,                 3.4051,                 3.6816,             0.00062635,             0.00062635,             0.00062635
                     64,                0.48623,                0.60345,                 1.1517,                0.25315,                0.04762,                0.18439,                0.06984,                 2.2475,                 3.2859,                 3.6135,             0.00062494,             0.00062494,             0.00062494
                     65,                0.51559,                0.60579,                 1.1606,                0.40167,                0.11111,                0.16827,                0.04926,                 2.2956,                 3.3408,                 3.6758,             0.00062352,             0.00062352,             0.00062352
                     66,                0.51664,                0.62115,                 1.1289,                 0.3908,                 0.0613,                0.17778,                0.05728,                 2.3023,                 3.4137,                 3.7071,             0.00062211,             0.00062211,             0.00062211
                     67,                0.44653,                 0.5644,                 1.1247,                0.18172,                0.04762,                 0.1454,                0.04402,                  2.362,                 3.3075,                  3.677,             0.00062069,             0.00062069,             0.00062069
                     68,                0.49808,                 0.5967,                 1.1108,                 0.4618,                0.09524,                0.14693,                0.04384,                 2.2825,                 3.4241,                 3.6126,             0.00061928,             0.00061928,             0.00061928
                     69,                0.48324,                0.54184,                 1.1177,                0.21353,                0.06349,                0.12788,                0.03859,                 2.2752,                  3.379,                 3.6903,             0.00061787,             0.00061787,             0.00061787
                     70,                0.45164,                0.53153,                 1.0806,                0.32265,                0.06349,                0.16788,                0.05084,                  2.313,                  3.409,                 3.7121,             0.00061645,             0.00061645,             0.00061645
                     71,                 0.4745,                0.54327,                 1.0866,                0.39798,                0.15745,                0.18843,                0.05296,                 2.2912,                 3.2502,                 3.6002,             0.00061504,             0.00061504,             0.00061504
                     72,                0.40252,                0.50461,                 1.0415,                 0.2112,                0.04762,                0.15964,                0.04039,                 2.2969,                 3.3585,                 3.6702,             0.00061363,             0.00061363,             0.00061363
                     73,                0.42849,                0.50288,                 1.0552,                0.29426,                0.05326,                0.18546,                0.04706,                 2.3004,                 3.4015,                 3.6257,             0.00061221,             0.00061221,             0.00061221
                     74,                0.39917,                0.46786,                 1.0447,                0.18264,                0.06349,                0.13994,                0.04188,                 2.1984,                 3.4166,                 3.5361,              0.0006108,              0.0006108,              0.0006108
                     75,                0.40711,                0.47568,                 1.0377,                0.54581,                0.15282,                0.20093,                0.06705,                 2.2011,                 3.3563,                 3.5791,             0.00060938,             0.00060938,             0.00060938
                     76,                0.39253,                0.45903,                 1.0159,                0.23523,                0.12698,                0.12589,                0.04407,                 2.1906,                  3.282,                 3.5284,             0.00060797,             0.00060797,             0.00060797
                     77,                0.40327,                0.44311,                 1.0223,                0.52403,                0.11111,                0.23064,                0.08711,                 2.1149,                 3.3008,                 3.4893,             0.00060656,             0.00060656,             0.00060656
                     78,                0.37157,                0.43061,                  1.005,                0.55833,                 0.1746,                0.29546,                0.10451,                 2.2112,                 3.2593,                 3.5427,             0.00060514,             0.00060514,             0.00060514
                     79,                0.34727,                0.41442,                0.99079,                0.28058,                0.11144,                0.19596,                0.06637,                 2.2913,                 3.2934,                 3.6296,             0.00060373,             0.00060373,             0.00060373
                     80,                0.40877,                0.44119,                 1.0052,                0.44052,                0.09524,                0.26893,                0.09391,                 2.2252,                 3.2387,                 3.4959,             0.00060232,             0.00060232,             0.00060232
