                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.8689,                  1.774,                 2.2471,                 0.6512,                0.49206,                 0.5913,                0.31951,                 1.7987,                 2.0376,                 2.5142,             0.00064049,             0.00064049,             0.00064049
                     54,                 1.8724,                 1.8122,                  2.237,                 0.7518,                0.52381,                0.63986,                0.35886,                 1.6204,                 2.0246,                 2.3668,             0.00063907,             0.00063907,             0.00063907
                     55,                 1.7684,                  1.799,                 2.1938,                0.50431,                0.49206,                0.49651,                0.24357,                 1.7969,                   2.17,                 2.5538,             0.00063766,             0.00063766,             0.00063766
                     56,                  1.764,                 1.8206,                 2.2124,                0.78096,                0.50937,                0.57011,                0.30867,                 1.6373,                 2.0212,                 2.4395,             0.00063625,             0.00063625,             0.00063625
                     57,                 1.7539,                 1.8378,                 2.2143,                0.75976,                0.63492,                0.71204,                0.40707,                 1.5301,                 1.7294,                 2.2608,             0.00063483,             0.00063483,             0.00063483
                     58,                 1.7265,                 1.7338,                 2.1632,                0.67875,                0.57143,                0.66465,                0.36102,                 1.6199,                 1.7852,                 2.3127,             0.00063342,             0.00063342,             0.00063342
                     59,                 1.7227,                 1.7502,                 2.1076,                 0.7466,                 0.5873,                0.65995,                0.35481,                 1.6955,                 1.7463,                 2.4242,               0.000632,               0.000632,               0.000632
                     60,                  1.705,                 1.7458,                 2.1777,                0.78459,                0.57143,                0.66179,                0.38995,                 1.5759,                 1.7843,                 2.2864,             0.00063059,             0.00063059,             0.00063059
                     61,                 1.7562,                 1.6915,                 2.1329,                0.75402,                0.63259,                0.69025,                0.40731,                 1.5324,                  1.691,                 2.2274,             0.00062918,             0.00062918,             0.00062918
                     62,                 1.6643,                 1.6812,                 2.0856,                0.76742,                0.42857,                0.56203,                0.27386,                 1.7976,                 1.9741,                 2.5284,             0.00062776,             0.00062776,             0.00062776
                     63,                  1.731,                 1.6909,                 2.1075,                0.88906,                0.65079,                0.76485,                0.43228,                 1.5533,                 1.5649,                 2.2074,             0.00062635,             0.00062635,             0.00062635
                     64,                  1.712,                 1.7181,                 2.0883,                0.87914,                0.68254,                0.76865,                0.44195,                 1.4846,                 1.6108,                 2.1486,             0.00062494,             0.00062494,             0.00062494
                     65,                 1.5983,                 1.6164,                  2.033,                0.79351,                0.71429,                0.77447,                0.41142,                 1.6274,                 1.5521,                 2.2874,             0.00062352,             0.00062352,             0.00062352
                     66,                 1.6222,                 1.6184,                 2.0601,                0.83433,                0.65079,                0.75935,                0.43953,                 1.6068,                 1.5707,                 2.2682,             0.00062211,             0.00062211,             0.00062211
                     67,                 1.6256,                 1.6253,                 2.0392,                 0.8099,                0.67635,                0.76873,                0.43927,                 1.4949,                 1.5528,                 2.2029,             0.00062069,             0.00062069,             0.00062069
                     68,                 1.6726,                 1.6466,                 2.0814,                0.76651,                0.60317,                0.69609,                0.38405,                 1.4836,                 1.7182,                 2.1982,             0.00061928,             0.00061928,             0.00061928
                     69,                 1.6194,                 1.6161,                 2.0379,                0.65448,                0.68254,                 0.7023,                0.42086,                 1.4758,                 1.5718,                 2.1729,             0.00061787,             0.00061787,             0.00061787
                     70,                 1.5353,                 1.5284,                 2.0256,                0.80203,                0.70746,                0.79182,                0.47426,                 1.4668,                 1.4467,                 2.1514,             0.00061645,             0.00061645,             0.00061645
                     71,                 1.5093,                 1.5551,                 2.0189,                0.74972,                 0.6657,                0.74355,                0.45429,                 1.4884,                 1.4643,                 2.1584,             0.00061504,             0.00061504,             0.00061504
                     72,                 1.5814,                   1.62,                 2.0515,                0.81365,                0.68254,                0.73612,                0.44816,                 1.5465,                 1.5267,                 2.1977,             0.00061363,             0.00061363,             0.00061363
                     73,                 1.5909,                 1.5014,                 1.9923,                0.65767,                0.57143,                0.65444,                0.38811,                 1.5378,                 1.6118,                 2.2075,             0.00061221,             0.00061221,             0.00061221
                     74,                  1.524,                 1.5083,                 1.9548,                0.76823,                0.66667,                0.73162,                0.44762,                 1.5148,                 1.6035,                 2.1332,              0.0006108,              0.0006108,              0.0006108
                     75,                 1.5135,                 1.5294,                 1.9658,                0.77843,                0.60317,                0.71196,                0.42284,                  1.499,                 1.5958,                 2.1895,             0.00060938,             0.00060938,             0.00060938
                     76,                 1.5972,                 1.6053,                 2.0187,                0.82101,                 0.5873,                0.73016,                0.44303,                 1.3789,                 1.5744,                 2.0274,             0.00060797,             0.00060797,             0.00060797
                     77,                 1.5604,                 1.5115,                 1.9344,                0.65102,                0.59228,                0.60437,                0.36314,                 1.4439,                  1.811,                  2.104,             0.00060656,             0.00060656,             0.00060656
                     78,                 1.4795,                 1.5063,                 1.9536,                0.83008,                0.65079,                0.76536,                 0.4738,                 1.4698,                 1.4593,                 2.0833,             0.00060514,             0.00060514,             0.00060514
                     79,                 1.5513,                 1.5273,                 2.0019,                0.77664,                0.66234,                0.70008,                0.41479,                 1.4823,                 1.5358,                 2.1149,             0.00060373,             0.00060373,             0.00060373
                     80,                 1.5008,                 1.4286,                 1.9248,                0.88457,                0.60317,                0.73943,                0.48349,                 1.4472,                 1.5849,                 2.1347,             0.00060232,             0.00060232,             0.00060232
                     81,                 1.5574,                 1.4797,                  1.963,                0.68999,                0.74194,                0.73294,                0.50371,                 1.3645,                 1.4974,                 2.0459,              0.0006009,              0.0006009,              0.0006009
                     82,                 1.5089,                 1.4762,                 1.9545,                0.73964,                0.69841,                0.76846,                0.48807,                 1.3604,                 1.4118,                 1.9884,             0.00059949,             0.00059949,             0.00059949
